GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
771,2531.35,5780.69,7677.92,705.86,399.69,-390.09,-5476.51,-45520.51,2472.41,32221.82,-9636.52,254.06,402.63,-9382.46,-8979.83,,,
781,2614.9,5683.8,7689.76,696.36,392.09,-378.26,-5418.57,-45470.48,2439.64,32110.97,-9609.86,259.82,360.19,-9350.04,-8989.84,,,
791,2547.43,5877.47,7641.9,711.5,374.17,-415.95,-5472.96,-45618.05,2462.86,32113.44,-9456.23,254.65,221.82,-9201.59,-8979.76,,,
801,2529.02,5830.81,7608.63,695.63,389.7,-375.49,-5494.9,-45695.54,2482.6,32233,-9446.91,252.2,203.46,-9194.71,-8991.25,,,
811,2560.6,5642.49,7663.79,685.99,350.45,-431.68,-5449.97,-45674.23,2460.62,32172.78,-9421.21,252.41,-19.16,-9168.8,-9187.95,,,
821,2548.79,5723.45,7742.7,695.3,378.98,-412.42,-5484.57,-45683.47,2482.62,32222.41,-9497.49,253.11,213.8,-9244.38,-9030.59,,,
831,2500.14,5653.14,7662.73,679.11,388.98,-420.05,-5416.91,-45654.66,2481.67,32181.48,-9430.37,252.08,55.63,-9178.29,-9122.65,,,
841,2546.22,5626.06,7643.83,687.47,357.82,-392.94,-5430.52,-45455.55,2425.62,32172.05,-9638.54,256.35,180.07,-9382.19,-9202.12,,,
851,2556.03,5725.85,7690.2,697.24,384.6,-373.76,-5522.72,-45659.85,2417.21,32334.7,-9526.48,253.01,249.51,-9273.47,-9023.96,,,
861,2612.23,5846.31,7633.64,710.62,381.35,-366.2,-5470.38,-45714.13,2442.14,32205.16,-9463.64,255.91,280.73,-9207.73,-8927.01,,,
871,2570.12,5645.7,7720.48,687.46,375.26,-364.08,-5461.66,-45636.49,2483.03,32241.11,-9529.04,251.03,260.95,-9278.01,-9017.06,,,
881,2438.83,5655.27,7651.28,672.08,374.12,-386.21,-5495.92,-45325.58,2482.25,32126.04,-9686.95,256.01,192.17,-9430.94,-9238.77,,,
891,2495.35,5796.98,7685.2,673.22,386.33,-375.5,-5472.05,-45621.31,2489.19,32210.72,-9492.67,256.05,268.14,-9236.62,-8968.47,,,
901,2570.58,5761.23,7669.34,698.06,357.9,-407.56,-5445.38,-45428.5,2441.82,32110.19,-9643.81,256.63,327.67,-9387.18,-9059.5,,,
911,2546.61,5714.34,7649.02,702.67,358.6,-389.16,-5433.05,-45465.02,2473.89,32204.47,-9699.82,255.63,362.38,-9444.19,-9081.81,,,
921,2595.1,5697.64,7688.46,689.5,407.85,-367.09,-5462.28,-45553.31,2466.84,32236.83,-9576.24,254.83,399.55,-9321.41,-8921.86,,,
931,2471.43,5717.97,7638.61,713.13,370.89,-369.93,-5471.89,-45432.19,2471.05,32184.42,-9699.92,253.71,293.49,-9446.21,-9152.71,,,
941,2561.36,5651.46,7666.2,686.43,402.35,-385.29,-5518.91,-45415.58,2456.88,31950.22,-9564.17,249.93,55.12,-9314.24,-9259.12,,,
951,2530.51,5772.81,7713.45,693.39,378.03,-406.26,-5414.33,-45418.79,2404.53,32153.71,-9710.5,258.65,407.06,-9451.85,-9044.79,,,
961,2471.08,5756.74,7628.9,694.19,409.64,-356.03,-5460.98,-45438.22,2459.55,32136.01,-9641.74,254.9,300.88,-9386.84,-9085.96,,,
